# generator: crates/mizar-checker/tests/lint_policy.rs::checker_live_source_inventory_matches_repository
# source-of-truth: crates/mizar-checker/{src,tests,benches,examples}/**/*.rs plus crates/mizar-checker/build.rs when present
schema	1
path	lines	boundary	owner_doc	split_required	hard_gate_finding	decision	public_surface
src/binding_env.rs	3266	module:binding_env	doc/design/mizar-checker/en/binding_env.md	no	no	keep-current-boundary	items:BinderIdentity,BindingContext,BindingContextDraft,BindingContextId,BindingContextLayer,BindingContextOwner,BindingContextRecovery,BindingContextTable,BindingDiagnostic,BindingDiagnosticClass,BindingDiagnosticDraft,BindingDiagnosticId,BindingDiagnosticRecovery,BindingDiagnosticSeverity,BindingDiagnosticTable,BindingDraft,BindingEntry,BindingEnv,BindingEnvError,BindingEnvParts,BindingId,BindingKind,BindingLookupResult,BindingLookupSite,BindingRecoveryState,BindingStatus,BindingTable,BindingTypeSite,CapturedFreeVariables
src/cluster_trace.rs	3948	module:cluster_trace	doc/design/mizar-checker/en/cluster_trace.md	no	no	keep-current-boundary	items:ClusterAntecedentRef,ClusterAttributeFingerprint,ClusterAuditKey,ClusterClosureOutput,ClusterClosureStatus,ClusterDiagnostic,ClusterDiagnosticClass,ClusterDiagnosticDraft,ClusterDiagnosticId,ClusterDiagnosticRecovery,ClusterDiagnosticSeverity,ClusterDiagnosticTable,ClusterFact,ClusterFactDraft,ClusterFactFingerprint,ClusterFactId,ClusterFactInput,ClusterFactProvenance,ClusterFactTable,ClusterOrderingVersion,ClusterReplayReport,ClusterReplayStatus,ClusterRuleDraft,ClusterRuleFingerprint,ClusterRuleInput,ClusterRuleKind,ClusterStep,ClusterStepId,ClusterTraceBuilder,ClusterTraversalCacheKey,ClusterTraversalConfig,ClusterTraversalProfile,ClusterTypeFingerprint,ReductionBinding,ReductionBindingKey,ReductionDraft,ReductionFingerprint,ReductionGuardEvidenceKey,ReductionGuardEvidenceRef,ReductionGuardKey,ReductionGuardKind,ReductionGuardRequirement,ReductionInput,ReductionRedexPath,ReductionRuleFqn,ReductionRuleViewFingerprint,ReductionSelectionKey,ReductionStep,ReductionStepId,ReductionStrategyAuditKey,ReductionTermFingerprint,ReductionTraceBuilder,ReductionTraceOutput,ResolutionTrace,ResolutionTraceStep
src/determinism_suite.rs	1101	module:determinism_suite	doc/design/mizar-checker/en/00.crate_plan.md	no	no	keep-current-boundary	items:
src/lib.rs	54	crate-exports	doc/design/mizar-checker/en/00.crate_plan.md	no	no	keep-current-boundary	modules:binding_env,cluster_trace,overload_resolution,registration_resolution,resolved_typed_ast,source_application,source_atomic_formula,source_attribute,source_attribute_definition,source_composite_formula,source_context,source_evidence,source_formula_composition,source_functor_definition,source_mode_definition,source_predicate_definition,source_proof_local_declaration,source_property_implementation,source_set_term,source_statement,source_structure,source_structure_definition,source_structure_semantics,source_template,source_template_type_parameter_association,source_term,source_type,type_checker,typed_ast
src/overload_resolution.rs	8004	module:overload_resolution	doc/design/mizar-checker/en/overload_resolution.md	no	no	keep-current-boundary	items:ArgumentViabilityEvidence,ArgumentViewKind,ArgumentViewPlan,CandidateBlockedReason,CandidateBlockedReasonKind,CandidateDeclarationKind,CandidateOrigin,CandidateProvenance,CandidateProvenanceKey,CandidateRejection,CandidateRejectionReason,CandidateScope,CandidateViability,CandidateViabilityId,CandidateViabilityInput,CandidateViabilityOutput,CandidateViabilityStatus,CandidateViabilityTable,CoherenceStatus,ExposedResultPayload,ExposedResultSource,InsertedView,InsertedViewId,InsertedViewInput,InsertedViewKind,InsertedViewReasonKey,InsertedViewStatus,InsertedViewTable,OverloadBlockedReason,OverloadCandidate,OverloadCandidateId,OverloadCandidateInput,OverloadCandidateStatus,OverloadCandidateTable,OverloadCollectionOutput,OverloadDiagnostic,OverloadDiagnosticClass,OverloadDiagnosticDraft,OverloadDiagnosticId,OverloadDiagnosticMessageKey,OverloadDiagnosticProvenance,OverloadDiagnosticRecovery,OverloadDiagnosticSeverity,OverloadDiagnosticTable,OverloadNameKey,OverloadResult,OverloadResultId,OverloadResultStatus,OverloadResultTable,OverloadSelectionOutput,OverloadSite,OverloadSiteId,OverloadSiteInput,OverloadSiteKey,OverloadSiteKind,OverloadSiteRecovery,OverloadSiteResolutionInput,OverloadSiteStatus,OverloadSiteTable,QuaPathKey,RefinementJoinFailure,RefinementJoinPayload,RefinementJoinStatus,SelectionReasonKey,SourceQuaView,SpecificityBlockedReasonKind,SpecificityComparison,SpecificityComparisonId,SpecificityComparisonInput,SpecificityComparisonOutcome,SpecificityComparisonStatus,SpecificityEdge,SpecificityEdgeId,SpecificityFailureReason,SpecificityGraph,SpecificityGraphId,SpecificityGraphOutput,SpecificityGraphTable,SpecificityNode,SpecificityReasonKey,TemplateArgument,TemplateArgumentInference,TemplateCandidatePayload,TemplateConstraintEvidence,TemplateConstraintEvidenceStatus,TemplateExpansion,TemplateExpansionFailure,TemplateExpansionId,TemplateExpansionOutput,TemplateExpansionStatus,TemplateExpansionTable,TemplateInstantiationKey,TemplateParameterKey,TemplateQuaStatus,TemplateSubstitution,TemplateSubstitutionSource,UnsupportedOverloadRole,ViabilityCoercionKind,ViabilityCoercionStatus,ViabilityEvidenceKey,ViabilityFactStatus
src/registration_resolution.rs	5897	module:registration_resolution	doc/design/mizar-checker/en/registration_resolution.md	no	no	keep-current-boundary	items:AcceptedCorrectnessKey,ActivatedRegistration,ActivatedRegistrationIndex,ActivationEvidenceKey,ActivationInput,ActivationVerifierStatus,CheckerRegistrationId,ExistentialGateBaseEvidence,ExistentialGateBaseEvidenceCoverage,ExistentialGateBaseEvidenceKind,ExistentialGateCandidate,ExistentialGateGuardEvidence,ExistentialGateGuardKey,ExistentialGateId,ExistentialGateInput,ExistentialGateOutput,ExistentialGateRecovery,ExistentialGateResult,ExistentialGateStatus,PendingRegistration,PendingRegistrationStatus,PendingRegistrationTable,RegistrationAttributeKey,RegistrationDatabase,RegistrationDiagnostic,RegistrationDiagnosticClass,RegistrationDiagnosticDraft,RegistrationDiagnosticId,RegistrationDiagnosticRecovery,RegistrationDiagnosticSeverity,RegistrationDiagnosticTable,RegistrationFingerprint,RegistrationFunctorKey,RegistrationLabelKey,RegistrationParameterKey,RegistrationPatternKey,RegistrationPatternStatus,RegistrationReferencedSymbol,RegistrationReferencedSymbolRole,RegistrationSource,RegistrationTermKey,RegistrationTermPattern,RegistrationTriggerKey,RegistrationTypeKey,RegistrationValidationInput,RegistrationValidationKind,RegistrationValidationParameter,RegistrationValidationPattern,RegistrationVariableKey,RegistrationVariableOccurrence,RejectedRegistration,RejectedRegistrationId,RejectedRegistrationReason,RejectedRegistrationTable,ResolverTargetShell
src/resolved_typed_ast.rs	8998	module:resolved_typed_ast	doc/design/mizar-checker/en/resolved_typed_ast.md	no	no	keep-current-boundary	items:CandidateSummaryNamespace,CandidateViabilitySummary,CandidateViabilitySummaryTable,CheckedCitation,CheckedProof,CheckedProofId,CheckedProofLabel,CheckedProofNode,CheckedProofNodeId,CheckedProofNodeKind,CheckedProofNodeTable,CheckedProofStatus,CheckedProofTable,CheckedTerminalGoal,CheckedTerminalGoalId,CheckedTerminalGoalTable,CoercionInsertion,CoercionInsertionId,CoercionInsertionSource,CoercionInsertionTable,ExprId,ExpressionMetadata,ExpressionMetadataId,ExpressionMetadataInput,ExpressionMetadataTable,OverloadCandidateSummary,OverloadCandidateSummaryTable,OverloadResolutionId,OverloadResolutionRecord,OverloadResolutionStatus,OverloadResolutionTable,ResolvedNodeKindHint,ResolvedNodeKindHintKind,ResolvedNodeRecovery,ResolvedNodeRecoveryReason,ResolvedSpecificityComparison,ResolvedSpecificityGraph,ResolvedSpecificityGraphTable,ResolvedTypedArena,ResolvedTypedAst,ResolvedTypedAstError,ResolvedTypedAstInputs,ResolvedTypedDiagnostic,ResolvedTypedDiagnosticId,ResolvedTypedDiagnosticSeverity,ResolvedTypedDiagnosticSource,ResolvedTypedDiagnosticTable,ResolvedTypedNode,ResolvedTypedNodeId,ResolvedTypedNodeKind,SourceNodeRole,StatementProofInputs,StatementProofIntentId,StatementProofIntentInput,StatementSemantic,StatementSemanticId,StatementSemanticInput,StatementSemanticInputs,StatementSemanticTable,TemplateExpansionSummary,TemplateExpansionSummaryTable,TheoremJustificationIntent,TheoremPolicyIntent
src/source_application.rs	4001	module:source_application	doc/design/mizar-checker/en/source_application.md	no	no	keep-current-boundary	items:SourceFunctorApplication,SourceFunctorApplicationError,SourceFunctorApplicationForm,SourceFunctorApplicationHandoff,SourceFunctorApplicationHandoffInput,SourceFunctorApplicationId,SourceFunctorApplicationInput,SourceFunctorApplicationKind,SourceFunctorApplicationProducer,SourceFunctorApplicationRecovery,SourceFunctorApplicationTable,SourceFunctorArgument,SourceFunctorArgumentId,SourceFunctorArgumentInput,SourceFunctorArgumentTable,SourceFunctorArgumentTarget,SourceFunctorCandidate,SourceFunctorCandidateId,SourceFunctorCandidateInput,SourceFunctorCandidateTable,SourceFunctorHeadSite,SourceFunctorTypeRequest,SourceFunctorTypeRequestId,SourceFunctorTypeRequestInput,SourceFunctorTypeRequestKind,SourceFunctorTypeRequestTable,SourceFunctorWrapper,SourceFunctorWrapperId,SourceFunctorWrapperInput,SourceFunctorWrapperTable
src/source_atomic_formula.rs	8511	module:source_atomic_formula	doc/design/mizar-checker/en/source_atomic_formula.md	no	no	keep-current-boundary	items:SourceAssertionAttribute,SourceAssertionAttributeId,SourceAssertionAttributeInput,SourceAssertionAttributePolarityInput,SourceAssertionAttributeTable,SourceAssertionTypeHead,SourceAssertionTypeSite,SourceAssertionTypeSiteId,SourceAssertionTypeSiteInput,SourceAssertionTypeSiteTable,SourceAtomicEdge,SourceAtomicEdgeId,SourceAtomicEdgeInput,SourceAtomicEdgeRole,SourceAtomicEdgeTable,SourceAtomicFormula,SourceAtomicFormulaError,SourceAtomicFormulaHandoff,SourceAtomicFormulaHandoffInput,SourceAtomicFormulaId,SourceAtomicFormulaInput,SourceAtomicFormulaKind,SourceAtomicFormulaProducer,SourceAtomicFormulaRecovery,SourceAtomicFormulaTable,SourceAtomicRequest,SourceAtomicRequestId,SourceAtomicRequestInput,SourceAtomicRequestKind,SourceAtomicRequestTable,SourceAtomicTermTarget,SourceAtomicWrapper,SourceAtomicWrapperId,SourceAtomicWrapperInput,SourceAtomicWrapperTable,SourcePredicateCandidate,SourcePredicateCandidateId,SourcePredicateCandidateInput,SourcePredicateCandidateTable,SourcePredicateHead,SourcePredicateHeadId,SourcePredicateHeadInput,SourcePredicateHeadTable,SourcePredicateSegment,SourcePredicateSegmentId,SourcePredicateSegmentInput,SourcePredicateSegmentPolarityInput,SourcePredicateSegmentTable
src/source_attribute.rs	3074	module:source_attribute	doc/design/mizar-checker/en/source_attribute.md	no	no	keep-current-boundary	items:SourceAttribute,SourceAttributeActualKind,SourceAttributeArgument,SourceAttributeArgumentGroup,SourceAttributeArgumentGroupId,SourceAttributeArgumentGroupInput,SourceAttributeArgumentGroupKind,SourceAttributeArgumentGroupTable,SourceAttributeArgumentId,SourceAttributeArgumentInput,SourceAttributeArgumentTable,SourceAttributeChain,SourceAttributeChainId,SourceAttributeChainInput,SourceAttributeChainTable,SourceAttributeError,SourceAttributeHandoff,SourceAttributeHandoffInput,SourceAttributeId,SourceAttributeInput,SourceAttributePolarityInput,SourceAttributePrefixForm,SourceAttributeProducer,SourceAttributeQualifier,SourceAttributeQualifierId,SourceAttributeQualifierInput,SourceAttributeQualifierTable,SourceAttributeTable
